detector,scope_type,scope_id,transition,definition,delta_tp,delta_tn,delta_fp,delta_fn,delta_macro_f1,delta_occupied_precision,delta_occupied_recall,delta_occupied_f1,delta_vacant_precision,delta_vacant_recall,delta_vacant_f1,delta_accuracy,delta_balanced_accuracy,delta_false_free_rate,delta_false_occupied_rate,delta_occupied_count_mae,delta_occupied_count_rmse,delta_occupied_count_mean_signed_error
D1-LL,overall,all,R1_to_R2,signed_absolute_change_target_minus_source,59.0,-558.0,558.0,-59.0,-0.04949490465289497,-0.1456251039685419,0.07393483709273185,-0.05947773754889013,0.0025369720378140004,-0.07861369399830931,-0.03951207175689997,-0.06319655521783174,-0.002339428452788672,-0.07393483709273174,0.07861369399830938,1.0930851063829787,1.178340587265605,1.6409574468085106
D1-LL,sequence,gopro1,R0_to_R1,signed_absolute_change_target_minus_source,2.0,0.0,0.0,-2.0,0.03711176198550947,0.12121212121212122,0.04878048780487805,0.07230769230769232,0.003604500346876649,0.0,0.0019158316633267614,0.003809523809523818,0.024390243902439046,-0.04878048780487809,0.0,-0.08000000000000007,-0.1204650534085252,0.08000000000000007
D1-LL,sequence,gopro1,R1_to_R2,signed_absolute_change_target_minus_source,2.0,-22.0,22.0,-2.0,-0.014834014228025438,-0.2545454545454545,0.048780487804878064,-0.008097165991902827,0.0006511554037956779,-0.045454545454545525,-0.02157086246414819,-0.03809523809523818,0.001662971175166228,-0.04878048780487809,0.045454545454545456,-0.4,-0.46862915010152406,0.96
D1-LL,sequence,gopro11,R0_to_R1,signed_absolute_change_target_minus_source,22.0,-7.0,7.0,-22.0,0.13676680808525632,0.1840840840840841,0.3142857142857143,0.260024154589372,0.04114467849223946,-0.015384615384615441,0.013509461581140636,0.02857142857142858,0.14945054945054936,-0.3142857142857143,0.015384615384615385,-0.52,-0.4629595674365431,1.16
D1-LL,sequence,gopro11,R1_to_R2,signed_absolute_change_target_minus_source,11.0,-74.0,74.0,-11.0,-0.0847781765793929,-0.18366479687234405,0.15714285714285714,-0.08436438622028142,0.01203155101595732,-0.16263736263736261,-0.0851919669385045,-0.12,-0.0027472527472527375,-0.15714285714285714,0.16263736263736264,3.2399999999999998,3.096088447239347,3.4
D1-LL,sequence,gopro12,R0_to_R1,signed_absolute_change_target_minus_source,2.0,0.0,0.0,-2.0,0.013826321943458675,0.015462384775497995,0.038461538461538436,0.02578725514505331,0.003774895785085608,0.0,0.001865388741863927,0.003527336860670194,0.019230769230769162,-0.03846153846153849,0.0,-0.07407407407407407,-0.12337995584151518,0.07407407407407407
D1-LL,sequence,gopro12,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-51.0,51.0,0.0,-0.12098217474561568,-0.25932203389830505,0.0,-0.18718718718718724,-0.0041739175382070615,-0.09902912621359228,-0.05477716230404406,-0.08994708994708989,-0.04951456310679614,0.0,0.09902912621359224,1.5185185185185186,1.7287339534791037,1.888888888888889
D1-LL,sequence,gopro19,R0_to_R1,signed_absolute_change_target_minus_source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-LL,sequence,gopro19,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-1.0,1.0,0.0,-0.034795321637426824,-0.09999999999999998,0.0,-0.055555555555555525,-0.0014224751066855834,-0.02631578947368418,-0.01403508771929829,-0.023809523809523836,-0.013157894736842035,0.0,0.02631578947368421,0.5,0.7071067811865476,0.5
D1-LL,sequence,gopro23,R0_to_R1,signed_absolute_change_target_minus_source,41.0,0.0,0.0,-41.0,0.16541236317348174,0.3037037037037037,0.2733333333333333,0.30844337735094035,0.04098105235360139,0.0,0.022381348996023065,0.043386243386243306,0.1366666666666666,-0.2733333333333333,0.0,-0.911111111111111,-1.028065712431433,0.911111111111111
