detector,method_id,component,pipeline,prediction_field,scope_type,scope_id,samples,frames,truth_occupied,truth_vacant,tp,tn,fp,fn,macro_f1,occupied_precision,occupied_recall,occupied_f1,vacant_precision,vacant_recall,vacant_f1,accuracy,balanced_accuracy,false_free_rate,false_occupied_rate,occupied_count_mae,occupied_count_rmse,occupied_count_mean_signed_error
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_01,376,376,13,363,13,329,34,0,0.6921001926782273,0.2765957446808511,1.0,0.43333333333333335,1.0,0.90633608815427,0.9508670520231214,0.9095744680851063,0.9531680440771351,0.0,0.09366391184573003,0.09042553191489362,0.30070838351282064,0.09042553191489362
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_02,376,376,54,322,53,302,20,1,0.9005228346456693,0.726027397260274,0.9814814814814815,0.8346456692913385,0.9966996699669967,0.937888198757764,0.9664,0.9441489361702128,0.9596848401196227,0.018518518518518517,0.062111801242236024,0.05585106382978723,0.23632829671833044,0.05053191489361702
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_03,376,376,52,324,22,311,13,30,0.7205427361507215,0.6285714285714286,0.4230769230769231,0.5057471264367815,0.9120234604105572,0.9598765432098766,0.9353383458646616,0.8856382978723404,0.6914767331433999,0.5769230769230769,0.040123456790123455,0.11436170212765957,0.3381740707500496,-0.04521276595744681
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_04,376,376,48,328,15,308,20,33,0.6411115313271021,0.42857142857142855,0.3125,0.3614457831325301,0.9032258064516129,0.9390243902439024,0.920777279521674,0.8590425531914894,0.6257621951219512,0.6875,0.06097560975609756,0.14095744680851063,0.3754430007451339,-0.034574468085106384
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_05,376,376,44,332,38,321,11,6,0.8957038197333855,0.7755102040816326,0.8636363636363636,0.8172043010752688,0.981651376146789,0.9668674698795181,0.9742033383915022,0.9547872340425532,0.9152519167579409,0.13636363636363635,0.03313253012048193,0.04521276595744681,0.21263293714156048,0.013297872340425532
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_06,376,376,62,314,0,314,0,62,0.45507246376811594,0.0,0.0,0.0,0.8351063829787234,1.0,0.9101449275362319,0.8351063829787234,0.5,1.0,0.0,0.16489361702127658,0.40607095072324073,-0.16489361702127658
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_07,376,376,17,359,17,345,14,0,0.8442234848484849,0.5483870967741935,1.0,0.7083333333333333,1.0,0.9610027855153204,0.9801136363636364,0.9627659574468085,0.9805013927576602,0.0,0.03899721448467967,0.03723404255319149,0.19296124624698993,0.03723404255319149
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_08,376,376,2,374,2,370,4,0,0.7473118279569892,0.3333333333333333,1.0,0.5,1.0,0.9893048128342246,0.9946236559139785,0.9893617021276596,0.9946524064171123,0.0,0.0106951871657754,0.010638297872340425,0.10314212462587934,0.010638297872340425
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_09,376,376,2,374,2,374,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_10,376,376,20,356,18,346,10,2,0.8664772727272727,0.6428571428571429,0.9,0.75,0.9942528735632183,0.9719101123595506,0.9829545454545454,0.9680851063829787,0.9359550561797754,0.1,0.028089887640449437,0.031914893617021274,0.1786474002526241,0.02127659574468085
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_11,376,376,67,309,31,281,28,36,0.6949135351691262,0.5254237288135594,0.4626865671641791,0.4920634920634921,0.886435331230284,0.9093851132686084,0.8977635782747604,0.8297872340425532,0.6860358402163937,0.5373134328358209,0.09061488673139159,0.1702127659574468,0.41256849850351734,-0.02127659574468085
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_12,376,376,47,329,15,231,98,32,0.4839527027027027,0.13274336283185842,0.3191489361702128,0.18750000000000003,0.8783269961977186,0.7021276595744681,0.7804054054054054,0.6542553191489362,0.5106382978723405,0.6808510638297872,0.2978723404255319,0.34574468085106386,0.5880005789547013,0.17553191489361702
D1,QV2-0,R2,B1 + F2 + E4,state,slot,slot_13,376,376,72,304,15,181,123,57,0.40537691091196626,0.10869565217391304,0.20833333333333334,0.14285714285714285,0.7605042016806722,0.5953947368421053,0.6678966789667896,0.5212765957446809,0.40186403508771934,0.7916666666666666,0.40460526315789475,0.4787234042553192,0.6918984060216639,0.17553191489361702
